Henry,Harry_hal,Hal,henry5,prince_hal,king_hal,son_hal,mad_wag,Henry_hal
Falstaff,Jack,Sir John,,,,,,
Mistress Quickly,hostess,quickly,,,,,,
Bardolph,,,,,,,,
Ned Poins,Poins,Ned,,,,,,
Kate Percy,ladypercy,Lady Percy,Kate,,,,,
Henry IV,henry4,king_henry,Bolingbroke,father_henry4,majesty,,,
Thomas Percy,Worcester,uncle_Worcester,uncle_worcester,,,,,
Henry Percy,Hotspur,Harry_hotspur,Percy_hotspur,earlnorth,son_worcester,nephew_worcester,cousin_worcester,
Jane Seymour,,,,,,,,
Sir Walter Blunt,Blunt,Walter,,,,,,
Hostess,,,,,,,,
Stafford,,,,,,,,
Peto,,,,,,,,
Sheriff,sheriff-h41,,,,,,,
Chamberlain,,,,,,,,
Rakehell,,,,,,,,
Earl of Douglas,Douglas,son_douglas,noble_Scot,,,,,
Duke of Bedford,,,,,,,,
Randolph,,,,,,,,
Ostler,,,,,,,,
Duke of Clarence,,,,,,,,
Traveler,,,,,,,,
Servant,,,,,,,,
Francis,,,,,,,,
Lady Mortimer,,,,,,,,
Lord Chief Justice,,,,,,,,
Earl of Westmorland,westmorland,,,,,,,
Scroop,Scroop,,,,,,,
Edmund Mortimer,Earl of March,Mortimer,Mortimer_lord,,,,,
Vintner,,,,,,,,
Gadshill,,,,,,,,
Sir Richard Vernon,Vernon,Richard,cousin_vernon,,,,,
Franklin,,,,,,,,
Carrier,FirstCarrier,,,,,,,
Carrier #2,,,,,,,,
Sir Michael,Michael,,,,,,,
Hotspur's Messenger,,,,,,,,
Owen Glendower,Glendower,owen,,,,,,
Earl of Northumberland,Lord Northumberland,earlnorth,hotspur_father,brother_worcester,,,,
Mordake,,,,,,,,
King Richard,Richard,king_richard,,,,,,
Lord of York,York,,,,,,,
Prince John,prince_john,Lancaster,John,brother_john,,,,
Westmorland's son,son_westmoreland,nephew_worcester,,,,,,
