angus,Angus,,,,,,,,,,,,
attendant_mac,Attendant,,,,,,,,,,,,
banquo,Banquo,GHOST OF BANQUO,father_Banquo,,,,,,,,,,
caithness,Caithness,,,,,,,,,,,,
doctor_mac,Doctor,,,,,,,,,,,,
donalbain,Donalbain,brother_Malcolm,,,,,,,,,,,
duncan,Duncan,king_Duncan,father_Duncan,master_Duncan,highness_Duncan,majesty_Duncan,,,,,,,
1apparition_mac,First Apparition,,,,,,,,,,,,
1murderer,First Murderer,,,,,,,,,,,,
1witch_mac,First Witch,Graymalkin,Sister-1witch,,,,,,,,,,
fleance,Fleance,,,,,,,,,,,,
gentlewoman_mac,Gentlewoman,Waiting-Gentlewoman,,,,,,,,,,,
hecate,Hecate,,,,,,,,,,,,
ladymacbeth,Lady Macbeth,wife_ladymacbeth,hostess_ladymacbeth,lady_macbeth,queen_ladymacbeth,patient_ladymacbeth,queen_ladymacbeth,,,,,,
ladymacduff,Lady Macduff,wife_ladymacduff,cousin_ladymacduff,mother_ladymacduff,,,,,,,,,
lennox,Lennox,,,,,,,,,,,,
lord_mac,Lord,,,,,,,,,,,,
lords_mac,Lords,,,,,,,,,,,,
macbeth,Macbeth,king_Macbeth,Glamis,husband_Macbeth,Cawdor,master_Macbeth,thane_Macbeth,highness_Macbeth,majesty_Macbeth,tyrant,Tyrant,hell-hound,butcher_Macbeth
macduff,Macduff,husband_Macduff,Duff,father_Macduff,Fife,husband_Macduff,,,,,,,
malcolm,Malcolm,king_Malcolm,King_Malcolm,Prince of Cumberland,cousin_Malcolm,,,,,,,,
menteith,Menteith,,,,,,,,,,,,
messenger_mac,Messenger,,,,,,,,,,,,
oldman_mac,Old Man,old Man,father_oldman,,,,,,,,,,
porter_mac,Porter,,,,,,,,,,,,
ross,Ross,cousin_ross,,,,,,,,,,,
2apparition_mac,Second Apparition,,,,,,,,,,,,
2murderer,Second Murderer,,,,,,,,,,,,
2witch_mac,Second Witch,Paddock,sister-2witch,,,,,,,,,,
sergeant_mac,Sergeant,man_Sergeant,,,,,,,,,,,
servant_mac,Servant,,,,,,,,,,,,
seyton,Seyton,,,,,,,,,,,,
siward,Siward,,,,,,,,,,,,
soldiers_mac,Soldiers,,,,,,,,,,,,
son_mac,Son,child_son_Macduff,,,,,,,,,,,
3apparition_mac,Third Apparition,,,,,,,,,,,,
3murderer,Third Murderer,,,,,,,,,,,,
3witch_mac,Third Witch,,,,,,,,,,,,
youngsiward,Young Siward,cousin_youngsiward,son_youngsiward,,,,,,,,,,
lady macbeth father,Lady Macbeth Father,father_Lady,,,,,,,,,,,
macdonwald,Macdonwald,,,,,,,,,,,,
all_mac,ALL,,,,,,,,,,,,
sweno,Norweyan lord,Sweno,,,,,,,,,,,
cawdor_traitor,Cawdor_traitor,thane_traitor,,,,,,,,,,,
edward,Edward,king_Edward,,,,,,,,,,,
macduff father,father_of_Macduff,,,,,,,,,,,,
macduff mother,queen_of_Macduff,mother_ofMacduff,,,,,,,,,,,
