Antonio_mv,Antonio,master_antonio,,
Balthasar_mv,Balthasar,,,,
Bassanio,Venetian_Bassanio,scholar_Bassanio,soldier_Bassanio,master_Bassanio
Clerk,,,,
Duke,Duke_venice,DUKE,,,
Gratiano_mv,Gratiano,,,
Lessica,,,,
Launcelot,,,,
Leonardo,,,,
Lorenzo,,,,
Nerissa,,,,
OldGobbo,father_Gobbo,,,
Portia_mv,Portia,lady_Portia,,
PrinceArragon,Arragon,Prince of Arragon,,
PrinceMorocco,Prince of Morocco,Morocco,
Salanio,,,,
Salarino,,,,
Salerio,,,,
Servant_mv,Servant,,,,
Shylock,master Jew,father_shylock,Jew_shylock,master_shylock
Stephano,,,,
Tubal,,,,
Alcides,,,,
Hercules,,,,
Jessica,daughter_jessica,,,
Clerk_mv,,,,
Gaoler,,,,
Bellario,Doctor Bellario,,,
jessica_mother,,,,
Cato,father_cato,,,
Neapolitan_prince,,,,
County_Palatine,,,,
Monsieur Le Bon,,,,
Falconbridge,,,,
Montferrat,,,,
Margery,,,,
all_mv,
