Source,Target,Weight,Type
claudius,laertes,50,undirected
claudius,rosencrantz,9,undirected
claudius,guildenstern,2,undirected
claudius,hamlet,44,undirected
claudius,cornelius,2,undirected
claudius,gertrude,25,undirected
claudius,ophelia,9,undirected
claudius,voltemand,2,undirected
claudius,messenger_ham,5,undirected
claudius,polonius,25,undirected
claudius,osric,1,undirected
horatio,sailor_ham,3,undirected
horatio,servant_ham,2,undirected
horatio,marcellus,32,undirected
horatio,osric,5,undirected
ambassador,horatio,1,undirected
ambassador,fortinbras,1,undirected
norcapt,rosencrantz,1,undirected
guildenstern,rosencrantz,7,undirected
guildenstern,hamlet,44,undirected
hamlet,laertes,23,undirected
hamlet,rosencrantz,66,undirected
hamlet,lucianus,1,undirected
hamlet,horatio,136,undirected
hamlet,marcellus,23,undirected
hamlet,ophelia,51,undirected
hamlet,lord_ham,5,undirected
hamlet,polonius,68,undirected
hamlet,norcapt,11,undirected
hamlet,osric,37,undirected
gents_ham,hamlet,2,undirected
gertrude,laertes,9,undirected
gertrude,rosencrantz,5,undirected
gertrude,guildenstern,3,undirected
gertrude,hamlet,63,undirected
gertrude,horatio,1,undirected
gertrude,ophelia,8,undirected
gertrude,polonius,11,undirected
gertrude,hamgent,3,undirected
polonius,rosencrantz,2,undirected
polonius,reynaldo,26,undirected
hampriest,laertes,4,undirected
laertes,ophelia,17,undirected
laertes,polonius,5,undirected
laertes,osric,4,undirected
clown1_ham,clown2_ham,23,undirected
clown1_ham,hamlet,40,undirected
1player_ham,hamlet,12,undirected
1player_ham,polonius,4,undirected
bernardo,horatio,14,undirected
bernardo,marcellus,11,undirected
bernardo,francisco,10,undirected
ophelia,polonius,21,undirected
all_ham,claudius,2,undirected
all_ham,laertes,4,undirected
all_ham,hamlet,3,undirected
all_ham,gertrude,1,undirected
all_ham,horatio,1,undirected
PlayerQueen,hamlet,2,undirected
hamghost,hamlet,28,undirected
francisco,horatio,1,undirected
francisco,marcellus,4,undirected
hamgent,horatio,1,undirected
PlayerKing,hamlet,2,undirected
PlayerKing,PlayerQueen,5,undirected
fortinbras,horatio,6,undirected
fortinbras,norcapt,2,undirected
