Source,Target,Weight,Type
Alcides,Jessica,2,Undirected
Alcides,Nerissa,2,Undirected
Alcides,Salerio,2,Undirected
Alcides,Gratiano_mv,1,Undirected
Alcides,Lorenzo,2,Undirected
Alcides,Hercules,3,Undirected
Alcides,Shylock,1,Undirected
Alcides,PrinceMorocco,1,Undirected
Alcides,all_mv,1,Undirected
Alcides,Portia_mv,2,Undirected
Alcides,Bassanio,2,Undirected
Antonio_mv,Launcelot,7,Undirected
Antonio_mv,Salerio,5,Undirected
Antonio_mv,PrinceMorocco,1,Undirected
Antonio_mv,Duke,12,Undirected
Antonio_mv,Cato,1,Undirected
Antonio_mv,Bassanio,59,Undirected
Antonio_mv,Tubal,6,Undirected
Antonio_mv,Clerk_mv,2,Undirected
Antonio_mv,Portia_mv,38,Undirected
Antonio_mv,Balthasar_mv,2,Undirected
Antonio_mv,Gaoler,2,Undirected
Antonio_mv,Salanio,5,Undirected
Antonio_mv,Lorenzo,12,Undirected
Antonio_mv,Salarino,21,Undirected
Antonio_mv,Stephano,2,Undirected
Antonio_mv,Bellario,2,Undirected
Antonio_mv,Nerissa,8,Undirected
Antonio_mv,Gratiano_mv,24,Undirected
Antonio_mv,Servant_mv,1,Undirected
Antonio_mv,Shylock,53,Undirected
Antonio_mv,Jessica,8,Undirected
Antonio_mv,jessica_mother,1,Undirected
Balthasar_mv,Launcelot,1,Undirected
Balthasar_mv,Salerio,1,Undirected
Balthasar_mv,Lorenzo,4,Undirected
Balthasar_mv,Bellario,3,Undirected
Balthasar_mv,Duke,1,Undirected
Balthasar_mv,Bassanio,1,Undirected
Balthasar_mv,Gratiano_mv,1,Undirected
Balthasar_mv,Clerk_mv,2,Undirected
Balthasar_mv,Nerissa,3,Undirected
Balthasar_mv,Portia_mv,6,Undirected
Balthasar_mv,Shylock,2,Undirected
Balthasar_mv,Jessica,4,Undirected
Bassanio,Launcelot,10,Undirected
Bassanio,Salerio,8,Undirected
Bassanio,PrinceMorocco,1,Undirected
Bassanio,Cato,1,Undirected
Bassanio,Duke,3,Undirected
Bassanio,Tubal,1,Undirected
Bassanio,Clerk_mv,1,Undirected
Bassanio,Portia_mv,79,Undirected
Bassanio,Servant_mv,1,Undirected
Bassanio,all_mv,2,Undirected
Bassanio,Montferrat,1,Undirected
Bassanio,Lorenzo,15,Undirected
Bassanio,Salarino,6,Undirected
Bassanio,Stephano,2,Undirected
Bassanio,Leonardo,4,Undirected
Bassanio,Bellario,1,Undirected
Bassanio,Nerissa,15,Undirected
Bassanio,Gratiano_mv,45,Undirected
Bassanio,Salanio,3,Undirected
Bassanio,OldGobbo,5,Undirected
Bassanio,Jessica,9,Undirected
Bassanio,Hercules,3,Undirected
Bassanio,Shylock,45,Undirected
Bellario,Launcelot,1,Undirected
Bellario,Nerissa,4,Undirected
Bellario,Salerio,1,Undirected
Bellario,Gratiano_mv,1,Undirected
Bellario,Lorenzo,4,Undirected
Bellario,Jessica,3,Undirected
Bellario,Duke,6,Undirected
Bellario,Clerk_mv,1,Undirected
Bellario,Portia_mv,7,Undirected
Bellario,Shylock,1,Undirected
Cato,Nerissa,3,Undirected
Cato,Portia_mv,2,Undirected
Clerk,Portia_mv,1,Undirected
Clerk_mv,Launcelot,1,Undirected
Clerk_mv,Nerissa,1,Undirected
Clerk_mv,Salerio,1,Undirected
Clerk_mv,Gratiano_mv,1,Undirected
Clerk_mv,Lorenzo,1,Undirected
Clerk_mv,Jessica,1,Undirected
Clerk_mv,Duke,3,Undirected
Clerk_mv,Portia_mv,2,Undirected
Clerk_mv,Shylock,2,Undirected
County_Palatine,Nerissa,1,Undirected
Duke,Launcelot,1,Undirected
Duke,Nerissa,5,Undirected
Duke,Salerio,5,Undirected
Duke,Gratiano_mv,4,Undirected
Duke,Lorenzo,1,Undirected
Duke,Jessica,1,Undirected
Duke,Portia_mv,12,Undirected
Duke,Shylock,10,Undirected
Falconbridge,Nerissa,1,Undirected
Gaoler,Shylock,3,Undirected
Gaoler,Salarino,2,Undirected
Gratiano_mv,Launcelot,6,Undirected
Gratiano_mv,Salanio,4,Undirected
Gratiano_mv,all_mv,1,Undirected
Gratiano_mv,Salerio,8,Undirected
Gratiano_mv,Lorenzo,25,Undirected
Gratiano_mv,Salarino,12,Undirected
Gratiano_mv,Stephano,1,Undirected
Gratiano_mv,Leonardo,2,Undirected
Gratiano_mv,Nerissa,23,Undirected
Gratiano_mv,OldGobbo,1,Undirected
Gratiano_mv,Shylock,14,Undirected
Gratiano_mv,Jessica,8,Undirected
Gratiano_mv,Hercules,1,Undirected
Gratiano_mv,Portia_mv,31,Undirected
Gratiano_mv,Servant_mv,1,Undirected
Hercules,Nerissa,2,Undirected
Hercules,Salerio,2,Undirected
Hercules,Shylock,1,Undirected
Hercules,Lorenzo,2,Undirected
Hercules,PrinceMorocco,1,Undirected
Hercules,Jessica,2,Undirected
Hercules,all_mv,1,Undirected
Hercules,Portia_mv,2,Undirected
Jessica,Launcelot,23,Undirected
